"名称","住所","MTENO","LinkNo","経度","緯度","分類"
"","","4","2147","135.640285313738","34.3274488906594","埋蔵文化財包蔵地_点"
"","","65","2117","135.642582284283","34.343163486138","埋蔵文化財包蔵地_点"
"","","7","2251","135.631366139665","34.205195152761","埋蔵文化財包蔵地_点"
"","","6","2250","135.605075610035","34.1815590977794","埋蔵文化財包蔵地_点"
"","","21","2080","135.615707890342","34.3192198594527","埋蔵文化財包蔵地_点"
"","","11","2242","135.604821400812","34.264973923273","埋蔵文化財包蔵地_点"
"","","2","3893","135.97528472625","33.9498228197457","埋蔵文化財包蔵地_点"
"","","1","3892","135.945576090767","33.9401239827113","埋蔵文化財包蔵地_点"
"","","35-1","3459","135.64526482877","33.8611252618927","埋蔵文化財包蔵地_点"
"","","35-2","3460","135.643340502941","33.8625571235712","埋蔵文化財包蔵地_点"
"","","39","3463","135.690069172792","33.8447035107433","埋蔵文化財包蔵地_点"
"","","10","3505","135.759575413377","33.8675948261185","埋蔵文化財包蔵地_点"
"","","9","3504","135.772438272622","33.8592992359474","埋蔵文化財包蔵地_点"
"","","4","3769","135.852418577586","33.8390642519676","埋蔵文化財包蔵地_点"
"","","16","3511","135.764047778379","33.8415702779123","埋蔵文化財包蔵地_点"
"","","41-1","3464","135.688909462325","33.8452638572915","埋蔵文化財包蔵地_点"
"","","19","3514","135.801812778186","33.8312886106067","埋蔵文化財包蔵地_点"
"","","51","3475","135.700369741444","33.8439040714634","埋蔵文化財包蔵地_点"
"","","1","3766","135.854808245305","33.8240226363145","埋蔵文化財包蔵地_点"
"","","11","3506","135.772294819781","33.8366005605768","埋蔵文化財包蔵地_点"
"","","6","3770","135.813315700108","33.8399682348381","埋蔵文化財包蔵地_点"
"","","2","3767","135.855214777229","33.8297152505056","埋蔵文化財包蔵地_点"
"","","37","3462","135.66043820292","33.8372067871368","埋蔵文化財包蔵地_点"
"","","7","3502","135.792455684927","33.8601082389747","埋蔵文化財包蔵地_点"
"","","15","3510","135.703886313146","33.8438968588246","埋蔵文化財包蔵地_点"
"","","41-2","3465","135.671748913455","33.8454328911292","埋蔵文化財包蔵地_点"
"","","46","3470","135.648766214679","33.8499374736556","埋蔵文化財包蔵地_点"
"","","35-3","3461","135.641184153378","33.8544296416977","埋蔵文化財包蔵地_点"
"","","33","3458","135.64852467253","33.8289858083616","埋蔵文化財包蔵地_点"
"","","45","3469","135.672474460511","33.8205894631581","埋蔵文化財包蔵地_点"
"","","9-3","3489","135.626429971462","33.7840116111669","埋蔵文化財包蔵地_点"
"","","3","3768","135.876164281503","33.7969065910918","埋蔵文化財包蔵地_点"
"","","13","3508","135.712401944104","33.8074469441273","埋蔵文化財包蔵地_点"
"","","44","3468","135.63880666656","33.8154058327686","埋蔵文化財包蔵地_点"
"","","9-2","3488","135.625948911858","33.7894158513947","埋蔵文化財包蔵地_点"
"","","17","3512","135.754261116131","33.8073373588085","埋蔵文化財包蔵地_点"
"","","18","3513","135.74619736825","33.7983715895671","埋蔵文化財包蔵地_点"
"","","14","3509","135.681387500428","33.8126216668798","埋蔵文化財包蔵地_点"
"","","9-1","3487","135.648247778627","33.7877611110646","埋蔵文化財包蔵地_点"
"","","8","3503","135.768001577984","33.838192078675","埋蔵文化財包蔵地_点"
"","","16","3496","135.667488376779","33.749654913457","埋蔵文化財包蔵地_点"
"","","17","3497","135.647607532392","33.7529078962533","埋蔵文化財包蔵地_点"
"","","15","3495","135.609987919642","33.7759737515958","埋蔵文化財包蔵地_点"
"","","14","3494","135.608534139659","33.7760609218642","埋蔵文化財包蔵地_点"
"","","28","3455","135.609648554179","33.8146169303393","埋蔵文化財包蔵地_点"
"","","30","3457","135.613765886285","33.8137878790711","埋蔵文化財包蔵地_点"
"","","27","3454","135.607566111315","33.8078583326794","埋蔵文化財包蔵地_点"
"","","49","3473","135.60834499989","33.8220400002981","埋蔵文化財包蔵地_点"
"","","29","3456","135.611288665438","33.8137470434102","埋蔵文化財包蔵地_点"
"","","22","3836","135.920278398115","33.5867328488821","埋蔵文化財包蔵地_点"
"","","2","3876","135.955922905004","33.5832161028851","埋蔵文化財包蔵地_点"
"","","36","3850","135.917198901386","33.5725900298328","埋蔵文化財包蔵地_点"
"","","46","3860","135.904828448385","33.5637364821679","埋蔵文化財包蔵地_点"
"","","43","3857","135.899989576312","33.5474353944675","埋蔵文化財包蔵地_点"
"","","45","3859","135.919413347431","33.573577790513","埋蔵文化財包蔵地_点"
"","","15","3829","135.899505116554","33.5882504095123","埋蔵文化財包蔵地_点"
"","","14","3828","135.896310127477","33.586883989865","埋蔵文化財包蔵地_点"
"","","52","3866","135.917591266363","33.5846099604958","埋蔵文化財包蔵地_点"
"","","26","3747","135.972656559286","33.6764783868485","埋蔵文化財包蔵地_点"
"","","39","3759","135.970258341124","33.6713802443749","埋蔵文化財包蔵地_点"
"","","5","3821","135.898385473122","33.6719139382923","埋蔵文化財包蔵地_点"
"","","18","3832","135.963446144913","33.6717055683675","埋蔵文化財包蔵地_点"
"","","19","3740","135.966133253464","33.6804738108127","埋蔵文化財包蔵地_点"
"","","38","3758","135.981917689573","33.7006223406689","埋蔵文化財包蔵地_点"
"","","23","3744","135.990038243797","33.7054451396211","埋蔵文化財包蔵地_点"
"","","11","3735","135.996554889649","33.7274286828448","埋蔵文化財包蔵地_点"
"","","40","3760","135.902343052143","33.735607062443","埋蔵文化財包蔵地_点"
"","","36","3756","135.964230299539","33.7057460845941","埋蔵文化財包蔵地_点"
"","","24","3745","135.988746103786","33.6981133591068","埋蔵文化財包蔵地_点"
"","","37","3757","135.977041585627","33.6917272288977","埋蔵文化財包蔵地_点"
"","","18","3739","135.966654248211","33.6870767095538","埋蔵文化財包蔵地_点"
"","","13","3737","136.000073139367","33.7268789325472","埋蔵文化財包蔵地_点"
"","","34","3754","136.003434461156","33.7240708538509","埋蔵文化財包蔵地_点"
"","","12","3736","136.008027211142","33.7226793566725","埋蔵文化財包蔵地_点"
"","","33","3753","135.98553324515","33.7300149356634","埋蔵文化財包蔵地_点"
"","","28","3749","135.992730373212","33.7278296553833","埋蔵文化財包蔵地_点"
"","","29","3750","135.986349549692","33.7267317998019","埋蔵文化財包蔵地_点"
"","","31","3752","135.904907139401","33.7334288752257","埋蔵文化財包蔵地_点"
"","","21","3742","135.98876109467","33.7279730002088","埋蔵文化財包蔵地_点"
"","","30","3751","135.907076005753","33.7324391725052","埋蔵文化財包蔵地_点"
"","","27","3748","135.994814960901","33.7302357692451","埋蔵文化財包蔵地_点"
"","","20","3741","135.987640965074","33.7254110379992","埋蔵文化財包蔵地_点"
"","","1","3731","135.976372751212","33.7324368523545","埋蔵文化財包蔵地_点"
"","","7","3733","135.991046513647","33.7314148865172","埋蔵文化財包蔵地_点"
"","","2","3732","135.984429572125","33.7328968946864","埋蔵文化財包蔵地_点"
"","","35","3755","135.984506861872","33.7277999457212","埋蔵文化財包蔵地_点"
"","","25","3746","135.977959420066","33.7221081634234","埋蔵文化財包蔵地_点"
"","","22","3743","135.977177374227","33.7187765831028","埋蔵文化財包蔵地_点"
"","","29","3843","135.970202165262","33.6682604634773","埋蔵文化財包蔵地_点"
"","","1","3875","135.960643274837","33.5953345014011","埋蔵文化財包蔵地_点"
"","","23","3837","135.932824746167","33.6482189386536","埋蔵文化財包蔵地_点"
"","","44","3858","135.91696289851","33.608551849108","埋蔵文化財包蔵地_点"
"","","50","3864","135.903215122183","33.5903291166418","埋蔵文化財包蔵地_点"
"","","37","3851","135.917375756505","33.6115132474741","埋蔵文化財包蔵地_点"
"","","3","3877","135.946440148412","33.5898359274885","埋蔵文化財包蔵地_点"
"","","26","3840","135.917060198198","33.5996398120837","埋蔵文化財包蔵地_点"
"","","4","3878","135.942533739115","33.5896794266078","埋蔵文化財包蔵地_点"
"","","27","3841","135.926275485117","33.6426976665345","埋蔵文化財包蔵地_点"
"","","32","3846","135.926229750772","33.6456946810493","埋蔵文化財包蔵地_点"
"","","24","3838","135.924303930032","33.6489055117278","埋蔵文化財包蔵地_点"
"","","19","3833","135.922365818364","33.6541379601615","埋蔵文化財包蔵地_点"
"","","31","3845","135.919653066521","33.6533256574874","埋蔵文化財包蔵地_点"
"","","48","3862","135.895384103514","33.6543683585613","埋蔵文化財包蔵地_点"
"","","13","3827","135.896149763625","33.5944362237524","埋蔵文化財包蔵地_点"
"","","40","3854","135.899033709527","33.6685939621574","埋蔵文化財包蔵地_点"
"","","49","3863","135.952665314809","33.6219247654544","埋蔵文化財包蔵地_点"
"","","12","3826","135.942058075607","33.6327618215172","埋蔵文化財包蔵地_点"
"","","7","3823","135.912633508847","33.6629745743594","埋蔵文化財包蔵地_点"
"","","10","3825","135.932988779549","33.644206905092","埋蔵文化財包蔵地_点"
"","","53","3867","135.935741218858","33.6470318404895","埋蔵文化財包蔵地_点"
"","","54","3868","135.932790761279","33.6456194113871","埋蔵文化財包蔵地_点"
"","","56","3870","135.930433112788","33.6455167193329","埋蔵文化財包蔵地_点"
"","","35","3849","135.914855764766","33.5927760778927","埋蔵文化財包蔵地_点"
"","","18","3793","135.832204898971","33.4677646166303","埋蔵文化財包蔵地_点"
"","","10","3785","135.781392927999","33.4772610198687","埋蔵文化財包蔵地_点"
"","","15","3790","135.798463822648","33.4648521752014","埋蔵文化財包蔵地_点"
"","","9","3784","135.780495183442","33.4737647589738","埋蔵文化財包蔵地_点"
"","","1","3776","135.772394537951","33.456978351771","埋蔵文化財包蔵地_点"
"","","14","3789","135.802025257079","33.4689610689723","埋蔵文化財包蔵地_点"
"","","16","3791","135.829209871321","33.4675652559125","埋蔵文化財包蔵地_点"
"","","5","3780","135.815979539346","33.4501249195491","埋蔵文化財包蔵地_点"
"","","21","3796","135.82573829184","33.4559823278088","埋蔵文化財包蔵地_点"
"","","12","3787","135.772290452657","33.4737134817277","埋蔵文化財包蔵地_点"
"","","19","3794","135.825993173617","33.4644897389762","埋蔵文化財包蔵地_点"
"","","17","3792","135.829292247523","33.4709855495402","埋蔵文化財包蔵地_点"
"","","20","3795","135.830332862515","33.4606673338052","埋蔵文化財包蔵地_点"
"","","7","3782","135.776015167499","33.4701980810448","埋蔵文化財包蔵地_点"
"","","3","3778","135.781200577951","33.4629961192122","埋蔵文化財包蔵地_点"
"","","4","3779","135.777911034981","33.462939222247","埋蔵文化財包蔵地_点"
"","","2","3777","135.788048017513","33.4495179412638","埋蔵文化財包蔵地_点"
"","","11","3786","135.782752521486","33.4790465545704","埋蔵文化財包蔵地_点"
"","","6","3781","135.778151904477","33.4720326269979","埋蔵文化財包蔵地_点"
"","","8","3783","135.779079830929","33.473622415675","埋蔵文化財包蔵地_点"
"","","28","3842","135.883960893526","33.5578705042834","埋蔵文化財包蔵地_点"
"","","4","3886","135.671222642131","33.5458000151804","埋蔵文化財包蔵地_点"
"","","5","3717","135.628265112381","33.5120890296935","埋蔵文化財包蔵地_点"
"","","24","3799","135.658967630065","33.5144027816118","埋蔵文化財包蔵地_点"
"","","4","3807","135.88237953271","33.5567937113496","埋蔵文化財包蔵地_点"
"","","1","3817","135.886966673102","33.6790203358371","埋蔵文化財包蔵地_点"
"","","4","3820","135.888244226767","33.6725437772547","埋蔵文化財包蔵地_点"
"","","6","3822","135.892302468009","33.6710849121039","埋蔵文化財包蔵地_点"
"","","3","3819","135.88965890483","33.6755745561551","埋蔵文化財包蔵地_点"
"","","2","3818","135.888692078526","33.6768000999363","埋蔵文化財包蔵地_点"
"","","2","3805","135.868350097817","33.5378698810556","埋蔵文化財包蔵地_点"
"","","8","3811","135.871653788902","33.5441368397711","埋蔵文化財包蔵地_点"
"","","41","3855","135.846102832886","33.6070838422483","埋蔵文化財包蔵地_点"
"","","8-1","3720","135.630386885014","33.6074425918862","埋蔵文化財包蔵地_点"
"","","3","3885","135.735732307053","33.6021207133708","埋蔵文化財包蔵地_点"
"","","8-2","3721","135.631331198804","33.6060511450977","埋蔵文化財包蔵地_点"
"","","1","3883","135.713722841519","33.6412925172922","埋蔵文化財包蔵地_点"
"","","2","3884","135.725667113534","33.639410454068","埋蔵文化財包蔵地_点"
"","","3","3806","135.869054227438","33.5500548084259","埋蔵文化財包蔵地_点"
"","","7","3810","135.820632313987","33.5169601930754","埋蔵文化財包蔵地_点"
"","","9","3812","135.818922452852","33.5154318716193","埋蔵文化財包蔵地_点"
"","","1","3804","135.829749092565","33.5163892517418","埋蔵文化財包蔵地_点"
"","","5","3808","135.863420919886","33.5556923530695","埋蔵文化財包蔵地_点"
"","","6","3809","135.865955750703","33.5485711881849","埋蔵文化財包蔵地_点"
"","","20","3834","135.831450265237","33.6722662842788","埋蔵文化財包蔵地_点"
"","","34","3848","135.809547822188","33.6981090553943","埋蔵文化財包蔵地_点"
"","","47","3861","135.859513296175","33.6753583112581","埋蔵文化財包蔵地_点"
"","","12","3492","135.616808600754","33.6664992753232","埋蔵文化財包蔵地_点"
"","","21","3835","135.861555722168","33.6731937914619","埋蔵文化財包蔵地_点"
"","","5","3887","135.688185332696","33.6736533781873","埋蔵文化財包蔵地_点"
"","","8","3486","135.616243926321","33.7121819837563","埋蔵文化財包蔵地_点"
"","","51","3865","135.862496970576","33.6702256441741","埋蔵文化財包蔵地_点"
"","","30","3844","135.869727302827","33.6709112085484","埋蔵文化財包蔵地_点"
"","","20","3515","135.707108332726","33.7318016669974","埋蔵文化財包蔵地_点"
"","","19","3499","135.703441110639","33.7303413886262","埋蔵文化財包蔵地_点"
"","","39","3853","135.848933350594","33.6735709821105","埋蔵文化財包蔵地_点"
"","","55","3869","135.839403232998","33.7054012774769","埋蔵文化財包蔵地_点"
"","","17","3831","135.848136589384","33.6757875840721","埋蔵文化財包蔵地_点"
"","","25","3839","135.886231612171","33.655831168662","埋蔵文化財包蔵地_点"
"","","33","3847","135.877792978942","33.59026468803","埋蔵文化財包蔵地_点"
"","","42","3856","135.876550340804","33.5969982381996","埋蔵文化財包蔵地_点"
"","","38","3852","135.892752464574","33.5969668193692","埋蔵文化財包蔵地_点"
"","","9","3824","135.87708886729","33.6439478879313","埋蔵文化財包蔵地_点"
"","","22","3797","135.733873192596","33.4957902630507","埋蔵文化財包蔵地_点"
"","","13","3788","135.717151418384","33.4971143483429","埋蔵文化財包蔵地_点"
"","","23","3798","135.721801841572","33.5029800048367","埋蔵文化財包蔵地_点"
