"名称_1","住所","天LinkNo","番号","地図","指定等区分","指定種別","名称_2","めいしょう","指定年月日","所在地","所有者（菅","備考","市町村CD","市町村地区","経度","緯度","分類"
"","","253","7.000000","40図","県指定","天然記念物","丹河地蔵堂のイチョウ（雌株）","たんがじぞうどうのいちょう","昭49.12.9","北道丹川40","北道区","1株","19","みなべ町南部地区","135.319098965972","33.7699226159754","史跡_名勝_天然記念物_面"
"","","396","8.000000","51図","県指定","史跡","山上不動堂跡","やまがみふどうどうあと","昭33.4.1","那智山2","熊野那智大社","","27","那智勝浦町","135.889398203679","33.6763083433398","史跡_名勝_天然記念物_面"
"","","394","6.000000","56図","県指定","天然記念物","しいの老樹","しいのろうじゅ","昭33.4.1","下和田775","太泰寺","1本","27","那智勝浦町","135.903679396555","33.5875233482644","史跡_名勝_天然記念物_面"
"","","402","13.000000","56図","県指定","史跡","太泰寺の板碑","だいたいじのいたび","昭38.3.26","下和田775","太泰寺","","27","那智勝浦町","135.902501801398","33.5890862543391","史跡_名勝_天然記念物_面"
"","","403","14.000000","56図","県指定","天然記念物","モッコクの大樹（那智大社実方院前庭）","もっこくのたいじゅ","昭40.4.14","那智山1","熊野那智大社","1本","27","那智勝浦町","135.891326532131","33.6695784527175","史跡_名勝_天然記念物_面"
"","","404","15.000000","56図","県指定","天然記念物","ヤマザクラの名木（那智大社社務所前）","やまざくらのめいぼく","昭40.4.14","那智山1","熊野那智大社","1本","27","那智勝浦町","135.890646176167","33.6683432676929","史跡_名勝_天然記念物_面"
"","","405","16.000000","56図","県指定","天然記念物","枝垂ザクラ（那智大社本殿瑞垣際）","しだれざくら","昭40.4.14","那智山1","熊野那智大社","1本","27","那智勝浦町","135.889854028935","33.6686497195434","史跡_名勝_天然記念物_面"
"","","406","17.000000","56図","県指定","天然記念物","イヌグスの大木（青岸渡寺本堂脇）","いぬぐすのたいぼく","昭40.4.14","那智山8","那智山青岸渡寺","1本","27","那智勝浦町","135.88994944281","33.6693416492361","史跡_名勝_天然記念物_面"
"","","407","18.000000","56図","県指定","天然記念物","那智の樟","なちのくすのき","昭33.4.1","那智山1","熊野那智大社","1本","27","那智勝浦町","135.890331755583","33.6687932846278","史跡_名勝_天然記念物_面"
"","","408","20.000000","51図・56図","国指定","史跡","熊野参詣道　紀伊路　中辺路　大辺路　小辺路　伊勢路　熊野川　七里御浜　花の窟","くまのさんけいみち　きいじ　なかへち　おおへち　こへち　いせじ　くまのがわ　しちりみはま　はなのいわや　","平12.11.2
平14.12.9分離・追加・名称変更
平24.1.24追加
平27.10.7追加・名称変更
平28.3.1追加
平30.2.13追加","新宮市、田辺市、海南市、有田市、御坊市、那智勝浦町、串本町、白浜町、すさみ町、上富田町、広川町、高野町","(高野町、有田市、広川町、田辺市、御坊市、上富田町、白浜町、すさみ町、串本町、那智勝浦町）","那智勝浦町域：中辺路、大辺路","27","那智勝浦町","135.87592101231","33.6793807555797","史跡_名勝_天然記念物_面"
"","","36","1.000000","10図","県指定","史跡","室山古墳","むろやまこふん","昭33.4.1","室山1147,1153,1166","中言神社","2基","02","海南市旧海南地域","135.205451669557","34.1733850658838","史跡_名勝_天然記念物_面"
"","","115","4.000000","","県指定","史跡","名古曽火葬墓","なごそかそうぼ","平19.6.12","名古曽","個人","","06","橋本市高野口地区","135.566688730016","34.312881437008","史跡_名勝_天然記念物_面"
"","","254","8.000000","","県指定","天然記念物","みなべ町沖のオオカワリギンチャク生息地","みねべちょうおきのおおかわりきんちゃくせいそくち","平27.1.15","みなべ町沖ショウガセの中心かわ半径300mの海域","（和歌山県）","","19","みなべ町南部地区","135.307663050518","33.7244661083803","史跡_名勝_天然記念物_面"
"","","272","1.000000","47図","国指定","史跡","三栖廃寺塔跡","みすはいじとうあと","昭10.12.24／昭60.3．25追加","下三栖234-1内実測55.92㎡、228-2内実測2.97㎡,233,235,245,248","(田辺市)","","21","田辺市田辺地区","135.416385689064","33.7368789097783","史跡_名勝_天然記念物_面"
"","","275","4.000000","47図","国指定","史跡","高山寺貝塚","こうざんじかいづか","昭45.8.17","稲成町387-1内実測96645㎡,390-1の内実測267.6075㎡､393-1の内実測27.6375㎡,実測151.003㎡,実測29.420㎡,394の内実測372.975㎡","高山寺","","21","田辺市田辺地区","135.378671746327","33.7403232952072","史跡_名勝_天然記念物_面"
"","","393","5.000000","51図","県指定","史跡","多富気王子跡","たふけおうじあと","昭33.4.1","那智山438","熊野那智大社","","27","那智勝浦町","135.898501756786","33.6714033481675","史跡_名勝_天然記念物_面"
"","","9999","0.000000","","","","","","","","","","","","135.311896858257","34.2471671478383","史跡_名勝_天然記念物_面"
"","","398","11.000000","51図","県指定","史跡","花山法皇御籠所跡","かざんほうおうおんこもりしょあと","昭33.4.1","那智山2","熊野那智大社","","27","那智勝浦町","135.888132983924","33.6771844123438","史跡_名勝_天然記念物_面"
"","","397","9.000000","51図","県指定","史跡","亀山天皇御卒塔婆建立地跡","かめやまてんのうおんそとばこんりゅうちあと","昭33.4.1","那智山2","熊野那智大社","","27","那智勝浦町","135.887896599494","33.6737438073412","史跡_名勝_天然記念物_面"
"","","328","9.000000","","県指定","史跡","安久川の塚穴","あくがわのつかあな","昭33.4.1","才野","個人","","22","白浜町白浜地区","135.379203110637","33.6536358993808","史跡_名勝_天然記念物_面"
"","","196","1.000000","22図","国指定","史跡","明恵紀州遺跡率都婆","みょうえきしゅういせきそとば","昭6.6.3","船坂793-3,歓喜寺179,1123-1の内実測1畝1歩7合,糸野650-1","（有田川町）","","13","有田川町金屋地区","135.260540580967","34.0502111343482","史跡_名勝_天然記念物_面"
"","","196","1.000000","22図","国指定","史跡","明恵紀州遺跡率都婆","みょうえきしゅういせきそとば","昭6.6.3","船坂793-3,歓喜寺179,1123-1の内実測1畝1歩7合,糸野650-1","（有田川町）","","13","有田川町金屋地区","135.263114027682","34.0410206811796","史跡_名勝_天然記念物_面"
"","","196","1.000000","22図","国指定","史跡","明恵紀州遺跡率都婆","みょうえきしゅういせきそとば","昭6.6.3","船坂793-3,歓喜寺179,1123-1の内実測1畝1歩7合,糸野650-1","（有田川町）","","13","有田川町金屋地区","135.244899328322","34.0735881546076","史跡_名勝_天然記念物_面"
"","","14","14.000000","11図","県指定","天然記念物","樫の大木","かしのたいぼく","昭33.4.1","永山485","個人","1本","01","和歌山市","135.265485072218","34.204214170247","史跡_名勝_天然記念物_面"
"","","23","23.000000","11図","県指定","天然記念物","くろがねもちの老樹","くろがねもちのろうじゅ","昭35.3.12","下三毛652","個人","1本","01","和歌山市","135.292317155331","34.2404387905844","史跡_名勝_天然記念物_面"
"","","120","1.000000","8図・13図","国指定","史跡","高野参詣道　町石道　三谷坂　京大坂道不動坂　黒河道　女人道","こうやさんけいみち　ちょいしみち、みたにざか、きょうおおさかみちふどうざか、くろこみち、にょにんみち","昭52.7.14
平9.3.6追加
平27.10.7追加・名称変更
平28.3.1追加","橋本市、高野町、かつらぎ町、九度山町","（かつらぎ町）","かつらぎ町域：町石道、三谷坂","07","かつらぎ町かつらぎ地区","135.519714145897","34.2823046812373","史跡_名勝_天然記念物_面"
"","","21","21.000000","10図","県指定","史跡","小原桃洞墓","おはらとうどうはか","昭33.4.1","吹上5丁目25番地","大恩寺","1基","01","和歌山市","135.17333689842","34.220363049448","史跡_名勝_天然記念物_面"
