"名称_1","住所","天LinkNo","番号","地図","指定等区分","指定種別","名称_2","めいしょう","指定年月日","所在地","所有者（菅","備考","市町村CD","市町村地区","経度","緯度","分類"
"","","371","4.000000","44図","国指定","史跡","熊野参詣道　紀伊路　中辺路　大辺路　小辺路　伊勢路　熊野川　七里御浜　花の窟","くまのさんけいみち　きいじ　なかへち　おおへち　こへち　いせじ　くまのがわ　しちりみはま　はなのいわや　","平12.11.2
平14.12.9分離・追加・名称変更
平24.1.24追加
平27.10.7追加・名称変更
平28.3.1追加
平30.2.13追加","新宮市、田辺市、海南市、有田市、御坊市、那智勝浦町、串本町、白浜町、すさみ町、上富田町、広川町、高野町","(高野町、有田市、広川町、田辺市、御坊市、上富田町、白浜町、すさみ町、串本町、那智勝浦町）","新宮市域：中辺路、伊勢路、熊野川","25","新宮市熊野川地区","135.850253355224","33.7187975595612","史跡_名勝_天然記念物_面"
"","","408","20.000000","51図・56図","国指定","史跡","熊野参詣道　紀伊路　中辺路　大辺路　小辺路　伊勢路　熊野川　七里御浜　花の窟","くまのさんけいみち　きいじ　なかへち　おおへち　こへち　いせじ　くまのがわ　しちりみはま　はなのいわや　","平12.11.2
平14.12.9分離・追加・名称変更
平24.1.24追加
平27.10.7追加・名称変更
平28.3.1追加
平30.2.13追加","新宮市、田辺市、海南市、有田市、御坊市、那智勝浦町、串本町、白浜町、すさみ町、上富田町、広川町、高野町","(高野町、有田市、広川町、田辺市、御坊市、上富田町、白浜町、すさみ町、串本町、那智勝浦町）","那智勝浦町域：中辺路、大辺路","27","那智勝浦町","135.851602331165","33.7144368892494","史跡_名勝_天然記念物_面"
"","","360","8.000000","51図","県指定","史跡","書写妙法蓮華経印塔","しょしゃみょうほうれんげきょういんとう","昭44.4.23","新宮656","本広寺","","25","新宮市新宮地区","135.985437915646","33.7277393202216","史跡_名勝_天然記念物_面"
"","","357","2.000000","51図","国指定","天然記念物","熊野速玉神社のナギ","くまのはやたまじんじゃのなぎ","昭15.2.10","新宮、熊野速玉大社境内","熊野速玉大社","","25","新宮市新宮地区","135.984075487624","33.7316156545802","史跡_名勝_天然記念物_面"
"","","307","1.000000","37図","国指定","天然記念物","ユノミネシダ自生地","ゆのみねしだじせいち","昭3.1.18","湯峯327、内実測12歩","（田辺市）","","21","田辺市本宮地区","135.75797649303","33.8284771560051","史跡_名勝_天然記念物_面"
"","","413","1.000000","56図","県指定","史跡","捕鯨の祖和田頼元墓","ほげいのそ　わだよりもとのはか","昭34.1.8","太地3185-35　順心寺内","個人","","28","太地町","135.943847561696","33.5917111506674","史跡_名勝_天然記念物_面"
"","","324","5.000000","46図","県指定","史跡","火雨塚古墳","ひさめづかこふん","昭47.4.13","白浜町744番地　熊野三所神社境内","熊野三所神社","1基","22","白浜町白浜地区","135.343204414073","33.6854544188228","史跡_名勝_天然記念物_面"
"","","276","5.000000","47図","国指定","史跡","磯間岩陰遺跡","いそまいわかげいせき","昭54.12.18","磯間166番地のうち実測85.6㎡、203番地-1","(田辺市)","","21","田辺市田辺地区","135.383223194803","33.7212439513999","史跡_名勝_天然記念物_面"
"","","334","1.000000","57図","県指定","天然記念物","安宅八幡のいちいがし","あたぎはちまんのいちいがし","昭33.4.1","安宅19-1","（安宅区）","1本","22","白浜町日置川地区","135.464200044363","33.581826806662","史跡_名勝_天然記念物_面"
"","","249","2.000000","40図","県指定","史跡","岩代の結松","いわしろのむすびまつ","昭33.4.1","西岩代字結215-3","西岩代区","","19","みなべ町南部地区","135.271580572627","33.7832010126331","史跡_名勝_天然記念物_面"
