"名称","住所","天LinkNo","天MTENO","経度","緯度","分類"
"","","300","3","135.486986951972","33.7319950735326","史跡_名勝_天然記念物_点"
"","","400","12","135.892718556318","33.6685746665099","史跡_名勝_天然記念物_点"
"","","401","12","135.88808433842","33.6702868892105","史跡_名勝_天然記念物_点"
"","","408","20","135.886715426304","33.6656361755887","史跡_名勝_天然記念物_点"
"","","408","20","135.893315848306","33.6721419007144","史跡_名勝_天然記念物_点"
"","","391","2","135.884906555023","33.6776698394519","史跡_名勝_天然記念物_点"
"","","390","1","135.89223472244","33.6787519438533","史跡_名勝_天然記念物_点"
"","","393","5","135.898693727014","33.6705700709919","史跡_名勝_天然記念物_点"
"","","289","1","135.510391546739","33.7610550159922","史跡_名勝_天然記念物_点"
"","","105","4","135.587526845768","34.2960075650018","史跡_名勝_天然記念物_点"
"","","124","8","135.519432070314","34.2582789994261","史跡_名勝_天然記念物_点"
"","","120","1","135.526896316018","34.2671249327738","史跡_名勝_天然記念物_点"
"","","112","1","135.553460064245","34.3368770774173","史跡_名勝_天然記念物_点"
"","","124","8","135.523756809357","34.2639280356908","史跡_名勝_天然記念物_点"
"","","103","2","135.578313765786","34.3081610577796","史跡_名勝_天然記念物_点"
"","","102","1","135.591929772265","34.3062600355953","史跡_名勝_天然記念物_点"
"","","131","2","135.605684545686","34.2725369801056","史跡_名勝_天然記念物_点"
"","","130","1","135.547706222634","34.29123039965","史跡_名勝_天然記念物_点"
"","","113","2","135.576140334961","34.3051353205451","史跡_名勝_天然記念物_点"
"","","134","5","135.559806606182","34.2914924510419","史跡_名勝_天然記念物_点"
"","","114","3","135.564926071083","34.3105188890252","史跡_名勝_天然記念物_点"
"","","133","4","135.547884006415","34.2608361925243","史跡_名勝_天然記念物_点"
"","","140","3","135.590044373776","34.2108588637816","史跡_名勝_天然記念物_点"
"","","73","3","135.430433125044","34.3101693540516","史跡_名勝_天然記念物_点"
"","","79","2","135.440752972499","34.2828121661024","史跡_名勝_天然記念物_点"
"","","123","4","135.475138887672","34.2894640714161","史跡_名勝_天然記念物_点"
"","","122","3","135.465333152143","34.2998286876033","史跡_名勝_天然記念物_点"
"","","80","3","135.436035161157","34.2473227391465","史跡_名勝_天然記念物_点"
"","","82","6","135.431591188102","34.2765203554915","史跡_名勝_天然記念物_点"
"","","139","2","135.548116135182","34.2223719958738","史跡_名勝_天然記念物_点"
