"名称","住所","linkNo","遺跡番号","地図","遺跡名","いせきめい","所在地","種別","時代","立地","遺跡概況","備考","市町村C","経度","緯度","分類"
"","","0","","","","","","","","","","","","135.162642106805","33.8793797524638","引出し線"
"","","0","","","","","","","","","","","","135.161887900489","33.8790359402949","引出し線"
"","","0","","","","","","","","","","","","135.162077760345","33.8784406411067","引出し線"
"","","0","","","","","","","","","","","","135.162256500019","33.8792691986883","引出し線"
"","","0","","","","","","","","","","","","135.164674401132","33.8787035817368","引出し線"
"","","0","","","","","","","","","","","","135.165395075179","33.8779160398705","引出し線"
"","","0","","","","","","","","","","","","135.165148487893","33.876823966843","引出し線"
"","","0","","","","","","","","","","","","135.163208472217","33.8792920655985","引出し線"
"","","0","","","","","","","","","","","","135.164805431461","33.8783092469244","引出し線"
"","","0","","","","","","","","","","","","135.167260418732","33.8805966568364","引出し線"
"","","0","","","","","","","","","","","","135.161569613964","33.8774657915681","引出し線"
"","","0","","","","","","","","","","","","135.164035439009","33.8750405103208","引出し線"
"","","0","","","","","","","","","","","","135.164060173655","33.8764730888043","引出し線"
"","","0","","","","","","","","","","","","135.16173957349","33.8779971710087","引出し線"
"","","0","","","","","","","","","","","","135.162103565017","33.8771460755832","引出し線"
"","","0","","","","","","","","","","","","135.164403957767","33.8775809399465","引出し線"
"","","0","","","","","","","","","","","","135.177418182151","33.8727806347663","引出し線"
"","","0","","","","","","","","","","","","135.17683716066","33.872755285665","引出し線"
"","","0","","","","","","","","","","","","135.176358102279","33.8726921854972","引出し線"
"","","0","","","","","","","","","","","","135.175893207109","33.8727764099514","引出し線"
"","","0","","","","","","","","","","","","135.175331179437","33.872783384922","引出し線"
"","","0","","","","","","","","","","","","135.174857268048","33.8729949074604","引出し線"
"","","0","","","","","","","","","","","","135.173609454145","33.8718289824839","引出し線"
"","","0","","","","","","","","","","","","135.174120973211","33.8719626054045","引出し線"
"","","0","","","","","","","","","","","","135.164110235178","33.8564862783469","引出し線"
"","","0","","","","","","","","","","","","135.170795045215","33.8469424034344","引出し線"
"","","0","","","","","","","","","","","","135.168615076892","33.8463818968913","引出し線"
"","","0","","","","","","","","","","","","135.168206047779","33.8461071897909","引出し線"
"","","0","","","","","","","","","","","","135.168987906509","33.8454435759722","引出し線"
"","","0","","","","","","","","","","","","135.169487027552","33.8455298359045","引出し線"
"","","0","","","","","","","","","","","","135.173349020166","33.8465398149727","引出し線"
"","","0","","","","","","","","","","","","135.173171904194","33.8462285114054","引出し線"
"","","0","","","","","","","","","","","","135.166896953296","33.8565533637368","引出し線"
"","","0","","","","","","","","","","","","135.169798345047","33.9128203713983","引出し線"
"","","0","","","","","","","","","","","","135.125129048791","33.9172171380594","引出し線"
"","","0","","","","","","","","","","","","135.129544326587","33.9249111389868","引出し線"
"","","0","","","","","","","","","","","","135.152911204023","33.9187139885486","引出し線"
"","","0","","","","","","","","","","","","135.232916865354","33.8411569608434","引出し線"
"","","0","","","","","","","","","","","","135.23093845452","33.8047056102048","引出し線"
"","","0","","","","","","","","","","","","135.231721051536","33.8046687400075","引出し線"
"","","0","","","","","","","","","","","","135.232366482028","33.8047920351479","引出し線"
"","","0","","","","","","","","","","","","135.23207772595","33.8037889101884","引出し線"
"","","0","","","","","","","","","","","","135.23264547082","33.8039498865939","引出し線"
"","","0","","","","","","","","","","","","135.233209738444","33.8043619184735","引出し線"
"","","0","","","","","","","","","","","","135.237188814004","33.8034356685755","引出し線"
"","","0","","","","","","","","","","","","135.234748930166","33.7894440405501","引出し線"
"","","0","","","","","","","","","","","","135.23619164502","33.7902527238836","引出し線"
"","","0","","","","","","","","","","","","135.235147056209","33.7906178114981","引出し線"
"","","0","","","","","","","","","","","","135.234600661358","33.7903734829506","引出し線"
